,dist_kilometers,vendor_code
83002,4.906,97
10030,1.956,97
87634,0.135,80
8997,4.566,71
53544,1.051,97
25411,2.114,97
25550,5.667,97
51667,7.056,71
66399,8.041,97
18924,1.7,80
21004,4.753,92
43113,5.495,71
40764,4.007,97
24029,4.889,97
54313,1.024,66
34083,12.03,61
70630,1.765,97
24048,4.795,97
65109,18.664,10
895,8.687,97
8754,4.797,97
6268,1.307,97
31318,7.233,71
39954,2.826,71
53501,0.068,84
36931,2.455,105
69885,2.232,80
60160,8.773,10
64349,1.979,86
53448,17.523,71
17067,10.51,71
12810,4.721,97
36297,2.408,97
67811,2.211,97
53761,7.027,86
29646,0.023,97
948,6.27,97
48174,1.877,97
3693,1.355,30
30685,8.994,115
9632,6.037,71
47271,4.968,97
51883,0.779,64
32517,4.545,0
76120,2.882,86
69244,6.343,80
77662,5.652,0
37859,6.049,31
12150,1.839,0
1079,8.508,71
13610,3.15,97
79458,8.859,47
45088,13.462,0
40426,6.954,0
3791,1.26,97
43858,5.943,0
36387,8.518,80
46282,0.422,21
78563,4.034,97
88048,5.069,80
56507,16.81,49
41400,1.111,80
60993,2.885,71
74060,2.324,97
49617,12.655,81
52585,8.293,30
17249,1.595,49
65498,2.652,97
53694,1.371,10
10170,2.837,71
19538,1.493,97
19597,0.221,97
37517,2.281,81
77198,4.142,20
39277,9.692,71
59145,8.179,71
58709,1.863,0
65680,10.44,0
75295,5.779,97
42713,5.045,71
42896,1.397,97
34455,1.562,81
43758,1.22,97
77307,1.74,97
25917,3.884,0
82650,7.864,80
52302,5.213,0
57273,5.312,97
21891,5.262,80
80522,4.989,71
15162,17.356,0
80826,2.383,117
83127,10.522,20
89678,4.812,20
1284,3.838,75
52767,6.502,97
34990,8.444,47
19738,7.219,0
45075,4.877,97
46508,5.288,97
3511,1.838,71
20446,6.789,39
3628,1.577,71
8146,0.051,75
49899,2.861,105
74468,5.591,71
37272,4.205,105
66878,1.175,97
21512,2.934,97
84106,0.645,97
51489,4.988,80
38405,0.406,38
41155,8.968,20
31898,3.445,97
48560,1.176,117
35188,4.116,79
78841,4.377,66
29085,2.363,66
34630,0.695,97
23006,5.612,71
56785,4.18,75
43091,0.426,97
75673,4.698,86
67927,2.625,97
40917,4.086,71
20927,0.778,81
76462,5.444,97
7500,6.022,97
42711,4.018,80
76379,6.675,80
76657,6.089,0
85129,3.464,47
74294,6.459,71
83725,3.318,81
35766,4.182,71
24137,0.096,68
53097,2.292,80
64051,3.242,0
55923,1.111,80
53148,6.379,71
67851,2.852,97
84092,6.917,79
56121,4.443,97
57711,13.544,21
87987,3.271,131
46225,5.051,10
24436,2.879,97
17720,3.445,0
16741,0.678,97
86375,3.223,97
9079,3.369,71
60610,6.588,0
39085,2.904,3
72900,2.007,86
65464,2.626,66
56839,1.509,80
62471,0.713,38
14347,5.235,71
7593,1.613,64
18712,1.019,58
64222,6.434,99
3633,10.236,71
67127,5.069,80
10991,3.906,97
81082,7.75,80
70153,6.32,97
83189,4.009,0
77735,16.027,71
88199,9.761,0
4070,3.422,97
49866,1.379,97
61508,0.022,97
17474,0.1,97
42364,4.57,64
26637,1.278,97
37041,3.714,0
88045,12.317,0
24676,3.749,31
80251,5.24,49
86906,10.699,77
25498,1.734,64
46591,18.418,80
72884,2.491,97
78989,0.562,80
72719,11.391,3
59380,2.588,97
34390,9.996,97
69401,5.095,97
